"","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display.Value","Numeric","Low","High","Comments"
"116","WHS9_86","PUBLISHED",2016,"AFR","MUS","1262",1262,NA,NA,NA
"117","WHS9_86","PUBLISHED",2016,"AMR","MEX","127 540",127540,NA,NA,NA
"118","WHS9_86","PUBLISHED",2016,"WPR","FSM","105",105,NA,NA,NA
"119","WHS9_86","PUBLISHED",2016,"EUR","MCO","38",38,NA,NA,NA
"120","WHS9_86","PUBLISHED",2016,"WPR","MNG","3027",3027,NA,NA,NA
"121","WHS9_86","PUBLISHED",2016,"EUR","MNE","629",629,NA,NA,NA
"122","WHS9_86","PUBLISHED",2016,"EMR","MAR","35 277",35277,NA,NA,NA
"123","WHS9_86","PUBLISHED",2016,"AFR","MOZ","28 829",28829,NA,NA,NA
"124","WHS9_86","PUBLISHED",2016,"SEAR","MMR","52 885",52885,NA,NA,NA
"125","WHS9_86","PUBLISHED",2016,"AFR","NAM","2480",2480,NA,NA,NA
"126","WHS9_86","PUBLISHED",2016,"WPR","NRU","11",11,NA,NA,NA
"127","WHS9_86","PUBLISHED",2016,"SEAR","NPL","28 983",28983,NA,NA,NA
"128","WHS9_86","PUBLISHED",2016,"EUR","NLD","16 987",16987,NA,NA,NA
"129","WHS9_86","PUBLISHED",2016,"WPR","NZL","4661",4661,NA,NA,NA
"130","WHS9_86","PUBLISHED",2016,"AMR","NIC","6150",6150,NA,NA,NA
"131","WHS9_86","PUBLISHED",2016,"AFR","NER","20 673",20673,NA,NA,NA
"132","WHS9_86","PUBLISHED",2016,"AFR","NGA","185 990",185990,NA,NA,NA
"133","WHS9_86","PUBLISHED",2016,"WPR","NIU","2",2,NA,NA,NA
"134","WHS9_86","PUBLISHED",2016,"EUR","NOR","5255",5255,NA,NA,NA
"135","WHS9_86","PUBLISHED",2016,"EMR","OMN","4425",4425,NA,NA,NA
"136","WHS9_86","PUBLISHED",2016,"EMR","PAK","193 203",193203,NA,NA,NA
"137","WHS9_86","PUBLISHED",2016,"WPR","PLW","22",22,NA,NA,NA
"138","WHS9_86","PUBLISHED",2016,"AMR","PAN","4034",4034,NA,NA,NA
"139","WHS9_86","PUBLISHED",2016,"WPR","PNG","8085",8085,NA,NA,NA
