rok;region;kraj;plec;nadwaga
2011;AFR;AGO;BTSX;6.5
2011;AFR;AGO;FMLE;9.7
2011;AFR;AGO;MLE;2.9
2010;AFR;AGO;BTSX;6.2
2010;AFR;AGO;FMLE;9.3
2010;AFR;AGO;MLE;2.8
2009;AFR;AGO;BTSX;5.9
2009;AFR;AGO;FMLE;8.8
2009;AFR;AGO;MLE;2.6
2008;AFR;AGO;BTSX;5.6
2008;AFR;AGO;FMLE;8.4
2008;AFR;AGO;MLE;2.4
2007;AFR;AGO;BTSX;5.3
2007;AFR;AGO;FMLE;8.0
2007;AFR;AGO;MLE;2.3
2006;AFR;AGO;BTSX;5.0
2006;AFR;AGO;FMLE;7.7
2006;AFR;AGO;MLE;2.1
2005;AFR;AGO;BTSX;4.8
2005;AFR;AGO;FMLE;7.3
2005;AFR;AGO;MLE;2.0
2004;AFR;AGO;BTSX;4.5
2004;AFR;AGO;FMLE;6.9
2004;AFR;AGO;MLE;1.9
2003;AFR;AGO;BTSX;4.3
2003;AFR;AGO;FMLE;6.6
2003;AFR;AGO;MLE;1.7
2002;AFR;AGO;BTSX;4.1
2002;AFR;AGO;FMLE;6.3
2002;AFR;AGO;MLE;1.6
2001;AFR;AGO;BTSX;3.8
2001;AFR;AGO;FMLE;5.9
2001;AFR;AGO;MLE;1.5
2000;AFR;AGO;BTSX;3.6
2000;AFR;AGO;FMLE;5.6
2000;AFR;AGO;MLE;1.4
1999;AFR;AGO;BTSX;3.4
1999;AFR;AGO;FMLE;5.3
1999;AFR;AGO;MLE;1.3
1998;AFR;AGO;BTSX;3.2
1998;AFR;AGO;FMLE;5.1
1998;AFR;AGO;MLE;1.2
1997;AFR;AGO;BTSX;3.1
1997;AFR;AGO;FMLE;4.8
1997;AFR;AGO;MLE;1.1
1996;AFR;AGO;BTSX;2.9
1996;AFR;AGO;FMLE;4.5
1996;AFR;AGO;MLE;1.1
1995;AFR;AGO;BTSX;2.7
1995;AFR;AGO;FMLE;4.3
1995;AFR;AGO;MLE;1.0
1994;AFR;AGO;BTSX;2.6
1994;AFR;AGO;FMLE;4.1
1994;AFR;AGO;MLE;0.9
1993;AFR;AGO;BTSX;2.4
1993;AFR;AGO;FMLE;3.8
1993;AFR;AGO;MLE;0.9
1992;AFR;AGO;BTSX;2.3
1992;AFR;AGO;FMLE;3.6
1992;AFR;AGO;MLE;0.8
1991;AFR;AGO;BTSX;2.2
1991;AFR;AGO;FMLE;3.4
1991;AFR;AGO;MLE;0.7
1990;AFR;AGO;BTSX;2.0
1990;AFR;AGO;FMLE;3.2
1990;AFR;AGO;MLE;0.7
1989;AFR;AGO;BTSX;1.9
1989;AFR;AGO;FMLE;3.1
1989;AFR;AGO;MLE;0.6
1988;AFR;AGO;BTSX;1.8
1988;AFR;AGO;FMLE;2.9
1988;AFR;AGO;MLE;0.6
1987;AFR;AGO;BTSX;1.7
1987;AFR;AGO;FMLE;2.7
1987;AFR;AGO;MLE;0.6
1986;AFR;AGO;BTSX;1.6
1986;AFR;AGO;FMLE;2.6
1986;AFR;AGO;MLE;0.5
1985;AFR;AGO;BTSX;1.5
1985;AFR;AGO;FMLE;2.4
1985;AFR;AGO;MLE;0.5
1984;AFR;AGO;BTSX;1.4
1984;AFR;AGO;FMLE;2.3
1984;AFR;AGO;MLE;0.5
1983;AFR;AGO;BTSX;1.3
1983;AFR;AGO;FMLE;2.2
1983;AFR;AGO;MLE;0.4
1982;AFR;AGO;BTSX;1.3
1982;AFR;AGO;FMLE;2.0
1982;AFR;AGO;MLE;0.4
1981;AFR;AGO;BTSX;1.2
1981;AFR;AGO;FMLE;1.9
1981;AFR;AGO;MLE;0.4
1980;AFR;AGO;BTSX;1.1
1980;AFR;AGO;FMLE;1.8
1980;AFR;AGO;MLE;0.3
1979;AFR;AGO;BTSX;1.1
1979;AFR;AGO;FMLE;1.7
1979;AFR;AGO;MLE;0.3
1978;AFR;AGO;BTSX;1.0
1978;AFR;AGO;FMLE;1.6
1978;AFR;AGO;MLE;0.3
1977;AFR;AGO;BTSX;0.9
1977;AFR;AGO;FMLE;1.5
1977;AFR;AGO;MLE;0.3
1976;AFR;AGO;BTSX;0.9
1976;AFR;AGO;FMLE;1.4
1976;AFR;AGO;MLE;0.3
1975;AFR;AGO;BTSX;0.8
1975;AFR;AGO;FMLE;1.4
1975;AFR;AGO;MLE;0.2
2016;EUR;ALB;BTSX;21.7
2016;EUR;ALB;FMLE;21.8
2016;EUR;ALB;MLE;21.6
2015;EUR;ALB;BTSX;21.1
2015;EUR;ALB;FMLE;21.3
2015;EUR;ALB;MLE;20.9
2014;EUR;ALB;BTSX;20.5
2014;EUR;ALB;FMLE;20.8
2014;EUR;ALB;MLE;20.2
2013;EUR;ALB;BTSX;19.9
2013;EUR;ALB;FMLE;20.4
2013;EUR;ALB;MLE;19.5
2012;EUR;ALB;BTSX;19.3
2012;EUR;ALB;FMLE;19.9
2012;EUR;ALB;MLE;18.8
2011;EUR;ALB;BTSX;18.8
2011;EUR;ALB;FMLE;19.4
2011;EUR;ALB;MLE;18.1
2010;EUR;ALB;BTSX;18.2
2010;EUR;ALB;FMLE;18.9
2010;EUR;ALB;MLE;17.4
2009;EUR;ALB;BTSX;17.6
2009;EUR;ALB;FMLE;18.4
2009;EUR;ALB;MLE;16.8
2008;EUR;ALB;BTSX;17.0
2008;EUR;ALB;FMLE;18.0
2008;EUR;ALB;MLE;16.1
2007;EUR;ALB;BTSX;16.5
2007;EUR;ALB;FMLE;17.5
2007;EUR;ALB;MLE;15.5
2006;EUR;ALB;BTSX;16.0
2006;EUR;ALB;FMLE;17.1
2006;EUR;ALB;MLE;14.9
2005;EUR;ALB;BTSX;15.4
2005;EUR;ALB;FMLE;16.6
2005;EUR;ALB;MLE;14.3
2004;EUR;ALB;BTSX;14.9
2004;EUR;ALB;FMLE;16.2
2004;EUR;ALB;MLE;13.7
2003;EUR;ALB;BTSX;14.5
2003;EUR;ALB;FMLE;15.8
2003;EUR;ALB;MLE;13.2
2002;EUR;ALB;BTSX;14.0
2002;EUR;ALB;FMLE;15.4
2002;EUR;ALB;MLE;12.6
2001;EUR;ALB;BTSX;13.6
2001;EUR;ALB;FMLE;15.0
2001;EUR;ALB;MLE;12.1
2000;EUR;ALB;BTSX;13.2
2000;EUR;ALB;FMLE;14.7
2000;EUR;ALB;MLE;11.7
1999;EUR;ALB;BTSX;12.8
1999;EUR;ALB;FMLE;14.3
1999;EUR;ALB;MLE;11.2
1998;EUR;ALB;BTSX;12.4
1998;EUR;ALB;FMLE;14.0
1998;EUR;ALB;MLE;10.8
1997;EUR;ALB;BTSX;12.0
1997;EUR;ALB;FMLE;13.7
1997;EUR;ALB;MLE;10.4
1996;EUR;ALB;BTSX;11.7
1996;EUR;ALB;FMLE;13.4
1996;EUR;ALB;MLE;10.0
1995;EUR;ALB;BTSX;11.3
1995;EUR;ALB;FMLE;13.1
1995;EUR;ALB;MLE;9.6
1994;EUR;ALB;BTSX;11.0
1994;EUR;ALB;FMLE;12.8
1994;EUR;ALB;MLE;9.2
1993;EUR;ALB;BTSX;10.7
1993;EUR;ALB;FMLE;12.5
1993;EUR;ALB;MLE;8.8
1992;EUR;ALB;BTSX;10.4
1992;EUR;ALB;FMLE;12.2
1992;EUR;ALB;MLE;8.5
1991;EUR;ALB;BTSX;10.1
1991;EUR;ALB;FMLE;12.0
1991;EUR;ALB;MLE;8.2
1990;EUR;ALB;BTSX;9.8
1990;EUR;ALB;FMLE;11.7
1990;EUR;ALB;MLE;7.9
1989;EUR;ALB;BTSX;9.5
1989;EUR;ALB;FMLE;11.5
1989;EUR;ALB;MLE;7.6
1988;EUR;ALB;BTSX;9.3
1988;EUR;ALB;FMLE;11.3
1988;EUR;ALB;MLE;7.3
1987;EUR;ALB;BTSX;9.0
1987;EUR;ALB;FMLE;11.0
1987;EUR;ALB;MLE;7.0
1986;EUR;ALB;BTSX;8.7
1986;EUR;ALB;FMLE;10.8
1986;EUR;ALB;MLE;6.8
1985;EUR;ALB;BTSX;8.5
1985;EUR;ALB;FMLE;10.6
1985;EUR;ALB;MLE;6.5
1984;EUR;ALB;BTSX;8.3
1984;EUR;ALB;FMLE;10.3
1984;EUR;ALB;MLE;6.3
1983;EUR;ALB;BTSX;8.0
1983;EUR;ALB;FMLE;10.1
1983;EUR;ALB;MLE;6.0
1982;EUR;ALB;BTSX;7.8
1982;EUR;ALB;FMLE;9.9
1982;EUR;ALB;MLE;5.8
1981;EUR;ALB;BTSX;7.6
1981;EUR;ALB;FMLE;9.7
1981;EUR;ALB;MLE;5.6
1980;EUR;ALB;BTSX;7.4
1980;EUR;ALB;FMLE;9.5
1980;EUR;ALB;MLE;5.4
1979;EUR;ALB;BTSX;7.2
1979;EUR;ALB;FMLE;9.3
1979;EUR;ALB;MLE;5.2
1978;EUR;ALB;BTSX;7.0
1978;EUR;ALB;FMLE;9.1
1978;EUR;ALB;MLE;5.0
1977;EUR;ALB;BTSX;6.8
1977;EUR;ALB;FMLE;8.9
1977;EUR;ALB;MLE;4.8
1976;EUR;ALB;BTSX;6.7
1976;EUR;ALB;FMLE;8.8
1976;EUR;ALB;MLE;4.6
1975;EUR;ALB;BTSX;6.5
1975;EUR;ALB;FMLE;8.6
1975;EUR;ALB;MLE;4.4
2016;EUR;AND;BTSX;25.6
2016;EUR;AND;FMLE;25.3
2016;EUR;AND;MLE;25.9
2015;EUR;AND;BTSX;25.4
2015;EUR;AND;FMLE;25.2
2015;EUR;AND;MLE;25.5
2014;EUR;AND;BTSX;25.2
2014;EUR;AND;FMLE;25.1
2014;EUR;AND;MLE;25.2
2013;EUR;AND;BTSX;25.0
2013;EUR;AND;FMLE;25.1
2013;EUR;AND;MLE;24.8
2012;EUR;AND;BTSX;24.8
2012;EUR;AND;FMLE;25.0
2012;EUR;AND;MLE;24.5
2011;EUR;AND;BTSX;24.6
2011;EUR;AND;FMLE;24.9
2011;EUR;AND;MLE;24.2
2010;EUR;AND;BTSX;24.4
2010;EUR;AND;FMLE;24.8
2010;EUR;AND;MLE;23.9
2009;EUR;AND;BTSX;24.2
2009;EUR;AND;FMLE;24.7
2009;EUR;AND;MLE;23.6
2008;EUR;AND;BTSX;24.0
2008;EUR;AND;FMLE;24.6
2008;EUR;AND;MLE;23.3
2007;EUR;AND;BTSX;23.8
2007;EUR;AND;FMLE;24.5
2007;EUR;AND;MLE;22.9
2006;EUR;AND;BTSX;23.6
2006;EUR;AND;FMLE;24.5
2006;EUR;AND;MLE;22.6
2005;EUR;AND;BTSX;23.4
2005;EUR;AND;FMLE;24.4
2005;EUR;AND;MLE;22.3
2004;EUR;AND;BTSX;23.2
2004;EUR;AND;FMLE;24.3
2004;EUR;AND;MLE;22.0
2003;EUR;AND;BTSX;22.9
2003;EUR;AND;FMLE;24.1
2003;EUR;AND;MLE;21.6
2002;EUR;AND;BTSX;22.7
2002;EUR;AND;FMLE;24.0
2002;EUR;AND;MLE;21.3
2001;EUR;AND;BTSX;22.5
2001;EUR;AND;FMLE;23.9
2001;EUR;AND;MLE;20.9
2000;EUR;AND;BTSX;22.2
2000;EUR;AND;FMLE;23.8
2000;EUR;AND;MLE;20.6
1999;EUR;AND;BTSX;22.0
1999;EUR;AND;FMLE;23.6
1999;EUR;AND;MLE;20.2
1998;EUR;AND;BTSX;21.7
1998;EUR;AND;FMLE;23.5
1998;EUR;AND;MLE;19.9
1997;EUR;AND;BTSX;21.5
1997;EUR;AND;FMLE;23.3
1997;EUR;AND;MLE;19.5
1996;EUR;AND;BTSX;21.2
1996;EUR;AND;FMLE;23.1
1996;EUR;AND;MLE;19.1
1995;EUR;AND;BTSX;21.0
1995;EUR;AND;FMLE;23.0
