rok;region;kraj;plec;nadwaga
1977;AFR;ETH;FMLE;0.9
1977;AFR;ETH;MLE;0.2
1976;AFR;ETH;BTSX;0.5
1976;AFR;ETH;FMLE;0.9
1976;AFR;ETH;MLE;0.2
1975;AFR;ETH;BTSX;0.5
1975;AFR;ETH;FMLE;0.8
1975;AFR;ETH;MLE;0.2
2016;EUR;FIN;BTSX;22.2
2016;EUR;FIN;FMLE;20.6
2016;EUR;FIN;MLE;23.7
2015;EUR;FIN;BTSX;21.8
2015;EUR;FIN;FMLE;20.3
2015;EUR;FIN;MLE;23.2
2014;EUR;FIN;BTSX;21.4
2014;EUR;FIN;FMLE;20.0
2014;EUR;FIN;MLE;22.7
2013;EUR;FIN;BTSX;21.1
2013;EUR;FIN;FMLE;19.7
2013;EUR;FIN;MLE;22.2
2012;EUR;FIN;BTSX;20.7
2012;EUR;FIN;FMLE;19.5
2012;EUR;FIN;MLE;21.8
2011;EUR;FIN;BTSX;20.3
2011;EUR;FIN;FMLE;19.2
2011;EUR;FIN;MLE;21.3
2010;EUR;FIN;BTSX;20.0
2010;EUR;FIN;FMLE;18.9
2010;EUR;FIN;MLE;20.9
2009;EUR;FIN;BTSX;19.6
2009;EUR;FIN;FMLE;18.7
2009;EUR;FIN;MLE;20.4
2008;EUR;FIN;BTSX;19.3
2008;EUR;FIN;FMLE;18.4
2008;EUR;FIN;MLE;20.0
2007;EUR;FIN;BTSX;18.9
2007;EUR;FIN;FMLE;18.1
2007;EUR;FIN;MLE;19.5
2006;EUR;FIN;BTSX;18.5
2006;EUR;FIN;FMLE;17.9
2006;EUR;FIN;MLE;19.1
2005;EUR;FIN;BTSX;18.2
2005;EUR;FIN;FMLE;17.6
2005;EUR;FIN;MLE;18.6
2004;EUR;FIN;BTSX;17.8
2004;EUR;FIN;FMLE;17.3
2004;EUR;FIN;MLE;18.2
2003;EUR;FIN;BTSX;17.5
2003;EUR;FIN;FMLE;17.0
2003;EUR;FIN;MLE;17.7
2002;EUR;FIN;BTSX;17.1
2002;EUR;FIN;FMLE;16.7
2002;EUR;FIN;MLE;17.3
2001;EUR;FIN;BTSX;16.7
2001;EUR;FIN;FMLE;16.4
2001;EUR;FIN;MLE;16.8
2000;EUR;FIN;BTSX;16.4
2000;EUR;FIN;FMLE;16.1
2000;EUR;FIN;MLE;16.4
1999;EUR;FIN;BTSX;16.0
1999;EUR;FIN;FMLE;15.8
1999;EUR;FIN;MLE;15.9
1998;EUR;FIN;BTSX;15.6
1998;EUR;FIN;FMLE;15.5
1998;EUR;FIN;MLE;15.5
1997;EUR;FIN;BTSX;15.2
1997;EUR;FIN;FMLE;15.2
1997;EUR;FIN;MLE;15.0
1996;EUR;FIN;BTSX;14.8
1996;EUR;FIN;FMLE;14.9
1996;EUR;FIN;MLE;14.6
1995;EUR;FIN;BTSX;14.4
1995;EUR;FIN;FMLE;14.5
1995;EUR;FIN;MLE;14.1
1994;EUR;FIN;BTSX;14.0
1994;EUR;FIN;FMLE;14.2
1994;EUR;FIN;MLE;13.6
1993;EUR;FIN;BTSX;13.6
1993;EUR;FIN;FMLE;13.8
1993;EUR;FIN;MLE;13.2
1992;EUR;FIN;BTSX;13.2
1992;EUR;FIN;FMLE;13.5
1992;EUR;FIN;MLE;12.7
1991;EUR;FIN;BTSX;12.8
1991;EUR;FIN;FMLE;13.1
1991;EUR;FIN;MLE;12.2
1990;EUR;FIN;BTSX;12.4
1990;EUR;FIN;FMLE;12.8
1990;EUR;FIN;MLE;11.7
1989;EUR;FIN;BTSX;12.0
1989;EUR;FIN;FMLE;12.4
1989;EUR;FIN;MLE;11.3
1988;EUR;FIN;BTSX;11.5
1988;EUR;FIN;FMLE;12.0
1988;EUR;FIN;MLE;10.8
1987;EUR;FIN;BTSX;11.1
1987;EUR;FIN;FMLE;11.6
1987;EUR;FIN;MLE;10.3
1986;EUR;FIN;BTSX;10.7
1986;EUR;FIN;FMLE;11.3
1986;EUR;FIN;MLE;9.9
1985;EUR;FIN;BTSX;10.3
1985;EUR;FIN;FMLE;10.9
1985;EUR;FIN;MLE;9.4
1984;EUR;FIN;BTSX;9.9
1984;EUR;FIN;FMLE;10.5
1984;EUR;FIN;MLE;9.0
1983;EUR;FIN;BTSX;9.6
1983;EUR;FIN;FMLE;10.2
1983;EUR;FIN;MLE;8.6
1982;EUR;FIN;BTSX;9.2
1982;EUR;FIN;FMLE;9.9
1982;EUR;FIN;MLE;8.2
1981;EUR;FIN;BTSX;8.8
1981;EUR;FIN;FMLE;9.5
1981;EUR;FIN;MLE;7.8
1980;EUR;FIN;BTSX;8.5
1980;EUR;FIN;FMLE;9.2
1980;EUR;FIN;MLE;7.4
1979;EUR;FIN;BTSX;8.2
1979;EUR;FIN;FMLE;8.9
1979;EUR;FIN;MLE;7.0
1978;EUR;FIN;BTSX;7.8
1978;EUR;FIN;FMLE;8.6
1978;EUR;FIN;MLE;6.7
1977;EUR;FIN;BTSX;7.5
1977;EUR;FIN;FMLE;8.3
1977;EUR;FIN;MLE;6.4
1976;EUR;FIN;BTSX;7.2
1976;EUR;FIN;FMLE;8.0
1976;EUR;FIN;MLE;6.0
1975;EUR;FIN;BTSX;6.9
1975;EUR;FIN;FMLE;7.8
1975;EUR;FIN;MLE;5.7
2016;WPR;FJI;BTSX;30.2
2016;WPR;FJI;FMLE;35.3
2016;WPR;FJI;MLE;25.1
2015;WPR;FJI;BTSX;29.5
2015;WPR;FJI;FMLE;34.7
2015;WPR;FJI;MLE;24.4
2014;WPR;FJI;BTSX;28.9
2014;WPR;FJI;FMLE;34.2
2014;WPR;FJI;MLE;23.7
2013;WPR;FJI;BTSX;28.3
2013;WPR;FJI;FMLE;33.6
2013;WPR;FJI;MLE;23.0
2012;WPR;FJI;BTSX;27.7
2012;WPR;FJI;FMLE;33.1
2012;WPR;FJI;MLE;22.4
2011;WPR;FJI;BTSX;27.1
2011;WPR;FJI;FMLE;32.6
2011;WPR;FJI;MLE;21.7
2010;WPR;FJI;BTSX;26.5
2010;WPR;FJI;FMLE;32.0
2010;WPR;FJI;MLE;21.1
2009;WPR;FJI;BTSX;26.0
2009;WPR;FJI;FMLE;31.5
2009;WPR;FJI;MLE;20.5
2008;WPR;FJI;BTSX;25.4
2008;WPR;FJI;FMLE;30.9
2008;WPR;FJI;MLE;19.9
2007;WPR;FJI;BTSX;24.8
2007;WPR;FJI;FMLE;30.4
2007;WPR;FJI;MLE;19.3
2006;WPR;FJI;BTSX;24.3
2006;WPR;FJI;FMLE;29.8
2006;WPR;FJI;MLE;18.7
2005;WPR;FJI;BTSX;23.7
2005;WPR;FJI;FMLE;29.3
2005;WPR;FJI;MLE;18.2
2004;WPR;FJI;BTSX;23.2
2004;WPR;FJI;FMLE;28.7
2004;WPR;FJI;MLE;17.6
2003;WPR;FJI;BTSX;22.6
2003;WPR;FJI;FMLE;28.2
2003;WPR;FJI;MLE;17.0
2002;WPR;FJI;BTSX;22.1
2002;WPR;FJI;FMLE;27.6
2002;WPR;FJI;MLE;16.5
2001;WPR;FJI;BTSX;21.5
2001;WPR;FJI;FMLE;27.1
2001;WPR;FJI;MLE;15.9
2000;WPR;FJI;BTSX;21.0
2000;WPR;FJI;FMLE;26.5
2000;WPR;FJI;MLE;15.4
1999;WPR;FJI;BTSX;20.4
1999;WPR;FJI;FMLE;25.9
1999;WPR;FJI;MLE;14.8
1998;WPR;FJI;BTSX;19.9
1998;WPR;FJI;FMLE;25.3
1998;WPR;FJI;MLE;14.3
1997;WPR;FJI;BTSX;19.3
1997;WPR;FJI;FMLE;24.7
1997;WPR;FJI;MLE;13.8
1996;WPR;FJI;BTSX;18.7
1996;WPR;FJI;FMLE;24.0
1996;WPR;FJI;MLE;13.3
1995;WPR;FJI;BTSX;18.1
1995;WPR;FJI;FMLE;23.4
1995;WPR;FJI;MLE;12.7
1994;WPR;FJI;BTSX;17.5
1994;WPR;FJI;FMLE;22.8
1994;WPR;FJI;MLE;12.2
1993;WPR;FJI;BTSX;16.9
1993;WPR;FJI;FMLE;22.1
1993;WPR;FJI;MLE;11.7
1992;WPR;FJI;BTSX;16.4
1992;WPR;FJI;FMLE;21.5
1992;WPR;FJI;MLE;11.2
1991;WPR;FJI;BTSX;15.8
1991;WPR;FJI;FMLE;20.9
1991;WPR;FJI;MLE;10.8
1990;WPR;FJI;BTSX;15.3
1990;WPR;FJI;FMLE;20.3
1990;WPR;FJI;MLE;10.3
1989;WPR;FJI;BTSX;14.8
1989;WPR;FJI;FMLE;19.7
1989;WPR;FJI;MLE;9.9
1988;WPR;FJI;BTSX;14.3
1988;WPR;FJI;FMLE;19.2
1988;WPR;FJI;MLE;9.5
1987;WPR;FJI;BTSX;13.9
1987;WPR;FJI;FMLE;18.7
1987;WPR;FJI;MLE;9.1
1986;WPR;FJI;BTSX;13.4
1986;WPR;FJI;FMLE;18.2
1986;WPR;FJI;MLE;8.8
1985;WPR;FJI;BTSX;13.0
1985;WPR;FJI;FMLE;17.7
1985;WPR;FJI;MLE;8.5
1984;WPR;FJI;BTSX;12.6
1984;WPR;FJI;FMLE;17.2
1984;WPR;FJI;MLE;8.2
1983;WPR;FJI;BTSX;12.3
1983;WPR;FJI;FMLE;16.8
1983;WPR;FJI;MLE;7.9
1982;WPR;FJI;BTSX;11.9
1982;WPR;FJI;FMLE;16.4
1982;WPR;FJI;MLE;7.6
1981;WPR;FJI;BTSX;11.5
1981;WPR;FJI;FMLE;15.9
1981;WPR;FJI;MLE;7.3
1980;WPR;FJI;BTSX;11.2
1980;WPR;FJI;FMLE;15.5
1980;WPR;FJI;MLE;7.0
1979;WPR;FJI;BTSX;10.8
1979;WPR;FJI;FMLE;15.0
1979;WPR;FJI;MLE;6.8
1978;WPR;FJI;BTSX;10.5
1978;WPR;FJI;FMLE;14.6
1978;WPR;FJI;MLE;6.5
1977;WPR;FJI;BTSX;10.1
1977;WPR;FJI;FMLE;14.2
1977;WPR;FJI;MLE;6.3
1976;WPR;FJI;BTSX;9.8
1976;WPR;FJI;FMLE;13.8
1976;WPR;FJI;MLE;6.0
1975;WPR;FJI;BTSX;9.5
1975;WPR;FJI;FMLE;13.3
1975;WPR;FJI;MLE;5.8
2016;EUR;FRA;BTSX;21.6
2016;EUR;FRA;FMLE;21.1
2016;EUR;FRA;MLE;22.0
2015;EUR;FRA;BTSX;21.2
2015;EUR;FRA;FMLE;20.8
2015;EUR;FRA;MLE;21.5
2014;EUR;FRA;BTSX;20.8
2014;EUR;FRA;FMLE;20.5
2014;EUR;FRA;MLE;21.0
2013;EUR;FRA;BTSX;20.4
2013;EUR;FRA;FMLE;20.3
2013;EUR;FRA;MLE;20.5
2012;EUR;FRA;BTSX;20.1
2012;EUR;FRA;FMLE;20.0
2012;EUR;FRA;MLE;20.1
2011;EUR;FRA;BTSX;19.7
2011;EUR;FRA;FMLE;19.7
2011;EUR;FRA;MLE;19.6
2010;EUR;FRA;BTSX;19.3
2010;EUR;FRA;FMLE;19.5
2010;EUR;FRA;MLE;19.2
2009;EUR;FRA;BTSX;19.0
2009;EUR;FRA;FMLE;19.2
2009;EUR;FRA;MLE;18.7
2008;EUR;FRA;BTSX;18.6
2008;EUR;FRA;FMLE;18.9
2008;EUR;FRA;MLE;18.2
2007;EUR;FRA;BTSX;18.3
2007;EUR;FRA;FMLE;18.6
2007;EUR;FRA;MLE;17.8
2006;EUR;FRA;BTSX;17.9
2006;EUR;FRA;FMLE;18.4
2006;EUR;FRA;MLE;17.4
2005;EUR;FRA;BTSX;17.6
2005;EUR;FRA;FMLE;18.1
2005;EUR;FRA;MLE;16.9
2004;EUR;FRA;BTSX;17.2
2004;EUR;FRA;FMLE;17.8
2004;EUR;FRA;MLE;16.5
2003;EUR;FRA;BTSX;16.9
2003;EUR;FRA;FMLE;17.5
2003;EUR;FRA;MLE;16.1
2002;EUR;FRA;BTSX;16.5
2002;EUR;FRA;FMLE;17.3
2002;EUR;FRA;MLE;15.6
2001;EUR;FRA;BTSX;16.2
2001;EUR;FRA;FMLE;17.0
2001;EUR;FRA;MLE;15.2
2000;EUR;FRA;BTSX;15.8
2000;EUR;FRA;FMLE;16.7
2000;EUR;FRA;MLE;14.8
1999;EUR;FRA;BTSX;15.5
1999;EUR;FRA;FMLE;16.4
1999;EUR;FRA;MLE;14.4
1998;EUR;FRA;BTSX;15.1
1998;EUR;FRA;FMLE;16.1
1998;EUR;FRA;MLE;14.0
1997;EUR;FRA;BTSX;14.8
1997;EUR;FRA;FMLE;15.9
1997;EUR;FRA;MLE;13.6
1996;EUR;FRA;BTSX;14.5
1996;EUR;FRA;FMLE;15.6
1996;EUR;FRA;MLE;13.2
1995;EUR;FRA;BTSX;14.1
1995;EUR;FRA;FMLE;15.3
1995;EUR;FRA;MLE;12.8
1994;EUR;FRA;BTSX;13.8
1994;EUR;FRA;FMLE;15.0
1994;EUR;FRA;MLE;12.4
1993;EUR;FRA;BTSX;13.5
1993;EUR;FRA;FMLE;14.8
1993;EUR;FRA;MLE;12.1
1992;EUR;FRA;BTSX;13.2
1992;EUR;FRA;FMLE;14.5
1992;EUR;FRA;MLE;11.7
1991;EUR;FRA;BTSX;12.9
1991;EUR;FRA;FMLE;14.3
1991;EUR;FRA;MLE;11.4
1990;EUR;FRA;BTSX;12.6
1990;EUR;FRA;FMLE;14.0
1990;EUR;FRA;MLE;11.0
1989;EUR;FRA;BTSX;12.3
1989;EUR;FRA;FMLE;13.8
1989;EUR;FRA;MLE;10.7
1988;EUR;FRA;BTSX;12.0
1988;EUR;FRA;FMLE;13.5
1988;EUR;FRA;MLE;10.4
1987;EUR;FRA;BTSX;11.8
1987;EUR;FRA;FMLE;13.3
1987;EUR;FRA;MLE;10.1
1986;EUR;FRA;BTSX;11.5
1986;EUR;FRA;FMLE;13.1
1986;EUR;FRA;MLE;9.7
1985;EUR;FRA;BTSX;11.2
1985;EUR;FRA;FMLE;12.9
1985;EUR;FRA;MLE;9.4
1984;EUR;FRA;BTSX;11.0
1984;EUR;FRA;FMLE;12.6
1984;EUR;FRA;MLE;9.2
1983;EUR;FRA;BTSX;10.7
1983;EUR;FRA;FMLE;12.4
1983;EUR;FRA;MLE;8.9
1982;EUR;FRA;BTSX;10.5
1982;EUR;FRA;FMLE;12.2
1982;EUR;FRA;MLE;8.6
1981;EUR;FRA;BTSX;10.3
1981;EUR;FRA;FMLE;12.0
1981;EUR;FRA;MLE;8.3
1980;EUR;FRA;BTSX;10.0
1980;EUR;FRA;FMLE;11.8
1980;EUR;FRA;MLE;8.1
1979;EUR;FRA;BTSX;9.8
1979;EUR;FRA;FMLE;11.6
1979;EUR;FRA;MLE;7.8
1978;EUR;FRA;BTSX;9.5
1978;EUR;FRA;FMLE;11.4
1978;EUR;FRA;MLE;7.5
1977;EUR;FRA;BTSX;9.3
1977;EUR;FRA;FMLE;11.1
1977;EUR;FRA;MLE;7.3
1976;EUR;FRA;BTSX;9.1
1976;EUR;FRA;FMLE;10.9
1976;EUR;FRA;MLE;7.0
1975;EUR;FRA;BTSX;8.8
1975;EUR;FRA;FMLE;10.7
1975;EUR;FRA;MLE;6.7
2016;WPR;FSM;BTSX;45.8
2016;WPR;FSM;FMLE;51.5
2016;WPR;FSM;MLE;40.1
2015;WPR;FSM;BTSX;45.1
2015;WPR;FSM;FMLE;50.9
2015;WPR;FSM;MLE;39.3
2014;WPR;FSM;BTSX;44.4
2014;WPR;FSM;FMLE;50.2
2014;WPR;FSM;MLE;38.4
2013;WPR;FSM;BTSX;43.7
2013;WPR;FSM;FMLE;49.6
2013;WPR;FSM;MLE;37.6
2012;WPR;FSM;BTSX;42.9
2012;WPR;FSM;FMLE;49.0
2012;WPR;FSM;MLE;36.8
2011;WPR;FSM;BTSX;42.2
2011;WPR;FSM;FMLE;48.3
2011;WPR;FSM;MLE;35.9
2010;WPR;FSM;BTSX;41.5
2010;WPR;FSM;FMLE;47.7
2010;WPR;FSM;MLE;35.1
2009;WPR;FSM;BTSX;40.8
2009;WPR;FSM;FMLE;47.1
2009;WPR;FSM;MLE;34.3
2008;WPR;FSM;BTSX;40.1
2008;WPR;FSM;FMLE;46.4
2008;WPR;FSM;MLE;33.5
2007;WPR;FSM;BTSX;39.3
2007;WPR;FSM;FMLE;45.7
2007;WPR;FSM;MLE;32.7
2006;WPR;FSM;BTSX;38.6
2006;WPR;FSM;FMLE;45.1
2006;WPR;FSM;MLE;31.9
2005;WPR;FSM;BTSX;37.9
2005;WPR;FSM;FMLE;44.5
2005;WPR;FSM;MLE;31.2
2004;WPR;FSM;BTSX;37.3
2004;WPR;FSM;FMLE;43.8
2004;WPR;FSM;MLE;30.4
2003;WPR;FSM;BTSX;36.6
2003;WPR;FSM;FMLE;43.2
2003;WPR;FSM;MLE;29.7
2002;WPR;FSM;BTSX;36.0
2002;WPR;FSM;FMLE;42.6
2002;WPR;FSM;MLE;29.0
2001;WPR;FSM;BTSX;35.4
2001;WPR;FSM;FMLE;42.0
2001;WPR;FSM;MLE;28.4
2000;WPR;FSM;BTSX;34.7
2000;WPR;FSM;FMLE;41.5
2000;WPR;FSM;MLE;27.8
1999;WPR;FSM;BTSX;34.2
1999;WPR;FSM;FMLE;40.9
1999;WPR;FSM;MLE;27.2
1998;WPR;FSM;BTSX;33.5
1998;WPR;FSM;FMLE;40.3
1998;WPR;FSM;MLE;26.6
1997;WPR;FSM;BTSX;32.9
1997;WPR;FSM;FMLE;39.8
1997;WPR;FSM;MLE;26.0
1996;WPR;FSM;BTSX;32.3
1996;WPR;FSM;FMLE;39.2
1996;WPR;FSM;MLE;25.3
1995;WPR;FSM;BTSX;31.6
1995;WPR;FSM;FMLE;38.5
1995;WPR;FSM;MLE;24.7
1994;WPR;FSM;BTSX;30.9
1994;WPR;FSM;FMLE;37.9
1994;WPR;FSM;MLE;24.1
1993;WPR;FSM;BTSX;30.3
1993;WPR;FSM;FMLE;37.2
1993;WPR;FSM;MLE;23.4
1992;WPR;FSM;BTSX;29.6
1992;WPR;FSM;FMLE;36.5
1992;WPR;FSM;MLE;22.8
1991;WPR;FSM;BTSX;29.0
1991;WPR;FSM;FMLE;35.8
1991;WPR;FSM;MLE;22.1
1990;WPR;FSM;BTSX;28.3
1990;WPR;FSM;FMLE;35.2
1990;WPR;FSM;MLE;21.5
1989;WPR;FSM;BTSX;27.7
1989;WPR;FSM;FMLE;34.5
1989;WPR;FSM;MLE;20.9
1988;WPR;FSM;BTSX;27.0
1988;WPR;FSM;FMLE;33.8
1988;WPR;FSM;MLE;20.3
1987;WPR;FSM;BTSX;26.4
1987;WPR;FSM;FMLE;33.1
1987;WPR;FSM;MLE;19.7
1986;WPR;FSM;BTSX;25.8
1986;WPR;FSM;FMLE;32.4
1986;WPR;FSM;MLE;19.1
1985;WPR;FSM;BTSX;25.1
1985;WPR;FSM;FMLE;31.7
1985;WPR;FSM;MLE;18.5
1984;WPR;FSM;BTSX;24.5
1984;WPR;FSM;FMLE;31.0
1984;WPR;FSM;MLE;17.9
1983;WPR;FSM;BTSX;23.9
1983;WPR;FSM;FMLE;30.3
1983;WPR;FSM;MLE;17.4
1982;WPR;FSM;BTSX;23.3
1982;WPR;FSM;FMLE;29.6
1982;WPR;FSM;MLE;16.8
1981;WPR;FSM;BTSX;22.6
1981;WPR;FSM;FMLE;28.9
1981;WPR;FSM;MLE;16.3
1980;WPR;FSM;BTSX;22.0
1980;WPR;FSM;FMLE;28.2
1980;WPR;FSM;MLE;15.8
1979;WPR;FSM;BTSX;21.4
1979;WPR;FSM;FMLE;27.5
1979;WPR;FSM;MLE;15.3
1978;WPR;FSM;BTSX;20.7
1978;WPR;FSM;FMLE;26.8
1978;WPR;FSM;MLE;14.7
1977;WPR;FSM;BTSX;20.1
1977;WPR;FSM;FMLE;26.1
1977;WPR;FSM;MLE;14.3
1976;WPR;FSM;BTSX;19.5
1976;WPR;FSM;FMLE;25.4
1976;WPR;FSM;MLE;13.8
1975;WPR;FSM;BTSX;18.9
1975;WPR;FSM;FMLE;24.6
1975;WPR;FSM;MLE;13.3
2016;AFR;GAB;BTSX;15.0
2016;AFR;GAB;FMLE;20.3
2016;AFR;GAB;MLE;9.6
2015;AFR;GAB;BTSX;14.6
2015;AFR;GAB;FMLE;19.9
2015;AFR;GAB;MLE;9.3
2014;AFR;GAB;BTSX;14.3
2014;AFR;GAB;FMLE;19.5
2014;AFR;GAB;MLE;8.9
2013;AFR;GAB;BTSX;13.9
2013;AFR;GAB;FMLE;19.1
2013;AFR;GAB;MLE;8.6
2012;AFR;GAB;BTSX;13.5
2012;AFR;GAB;FMLE;18.7
2012;AFR;GAB;MLE;8.3
2011;AFR;GAB;BTSX;13.2
2011;AFR;GAB;FMLE;18.3
2011;AFR;GAB;MLE;7.9
2010;AFR;GAB;BTSX;12.8
2010;AFR;GAB;FMLE;17.9
2010;AFR;GAB;MLE;7.6
2009;AFR;GAB;BTSX;12.5
2009;AFR;GAB;FMLE;17.4
2009;AFR;GAB;MLE;7.3
2008;AFR;GAB;BTSX;12.1
2008;AFR;GAB;FMLE;17.0
2008;AFR;GAB;MLE;7.0
2007;AFR;GAB;BTSX;11.8
2007;AFR;GAB;FMLE;16.6
2007;AFR;GAB;MLE;6.7
2006;AFR;GAB;BTSX;11.4
2006;AFR;GAB;FMLE;16.2
2006;AFR;GAB;MLE;6.4
2005;AFR;GAB;BTSX;11.1
2005;AFR;GAB;FMLE;15.7
2005;AFR;GAB;MLE;6.1
2004;AFR;GAB;BTSX;10.7
2004;AFR;GAB;FMLE;15.3
2004;AFR;GAB;MLE;5.8
2003;AFR;GAB;BTSX;10.3
2003;AFR;GAB;FMLE;14.8
2003;AFR;GAB;MLE;5.5
2002;AFR;GAB;BTSX;10.0
2002;AFR;GAB;FMLE;14.4
2002;AFR;GAB;MLE;5.2
2001;AFR;GAB;BTSX;9.6
2001;AFR;GAB;FMLE;13.9
2001;AFR;GAB;MLE;5.0
2000;AFR;GAB;BTSX;9.3
2000;AFR;GAB;FMLE;13.5
2000;AFR;GAB;MLE;4.7
1999;AFR;GAB;BTSX;8.9
1999;AFR;GAB;FMLE;13.0
1999;AFR;GAB;MLE;4.4
1998;AFR;GAB;BTSX;8.6
1998;AFR;GAB;FMLE;12.5
1998;AFR;GAB;MLE;4.2
1997;AFR;GAB;BTSX;8.2
1997;AFR;GAB;FMLE;12.1
1997;AFR;GAB;MLE;3.9
1996;AFR;GAB;BTSX;7.9
1996;AFR;GAB;FMLE;11.6
1996;AFR;GAB;MLE;3.7
1995;AFR;GAB;BTSX;7.5
1995;AFR;GAB;FMLE;11.1
1995;AFR;GAB;MLE;3.4
1994;AFR;GAB;BTSX;7.2
1994;AFR;GAB;FMLE;10.6
1994;AFR;GAB;MLE;3.2
1993;AFR;GAB;BTSX;6.8
1993;AFR;GAB;FMLE;10.2
1993;AFR;GAB;MLE;3.0
1992;AFR;GAB;BTSX;6.5
1992;AFR;GAB;FMLE;9.7
1992;AFR;GAB;MLE;2.8
1991;AFR;GAB;BTSX;6.1
1991;AFR;GAB;FMLE;9.3
1991;AFR;GAB;MLE;2.6
1990;AFR;GAB;BTSX;5.8
1990;AFR;GAB;FMLE;8.8
1990;AFR;GAB;MLE;2.4
1989;AFR;GAB;BTSX;5.5
1989;AFR;GAB;FMLE;8.4
1989;AFR;GAB;MLE;2.2
1988;AFR;GAB;BTSX;5.2
1988;AFR;GAB;FMLE;7.9
1988;AFR;GAB;MLE;2.0
1987;AFR;GAB;BTSX;4.9
1987;AFR;GAB;FMLE;7.5
1987;AFR;GAB;MLE;1.9
1986;AFR;GAB;BTSX;4.6
1986;AFR;GAB;FMLE;7.1
1986;AFR;GAB;MLE;1.7
1985;AFR;GAB;BTSX;4.3
1985;AFR;GAB;FMLE;6.7
1985;AFR;GAB;MLE;1.6
1984;AFR;GAB;BTSX;4.0
1984;AFR;GAB;FMLE;6.2
1984;AFR;GAB;MLE;1.4
1983;AFR;GAB;BTSX;3.7
1983;AFR;GAB;FMLE;5.8
1983;AFR;GAB;MLE;1.3
1982;AFR;GAB;BTSX;3.4
1982;AFR;GAB;FMLE;5.4
1982;AFR;GAB;MLE;1.2
1981;AFR;GAB;BTSX;3.2
1981;AFR;GAB;FMLE;5.0
1981;AFR;GAB;MLE;1.0
1980;AFR;GAB;BTSX;2.9
1980;AFR;GAB;FMLE;4.6
1980;AFR;GAB;MLE;0.9
1979;AFR;GAB;BTSX;2.6
1979;AFR;GAB;FMLE;4.2
1979;AFR;GAB;MLE;0.8
1978;AFR;GAB;BTSX;2.4
1978;AFR;GAB;FMLE;3.8
1978;AFR;GAB;MLE;0.7
1977;AFR;GAB;BTSX;2.2
1977;AFR;GAB;FMLE;3.5
1977;AFR;GAB;MLE;0.6
1976;AFR;GAB;BTSX;2.0
1976;AFR;GAB;FMLE;3.1
1976;AFR;GAB;MLE;0.6
1975;AFR;GAB;BTSX;1.8
1975;AFR;GAB;FMLE;2.9
1975;AFR;GAB;MLE;0.5
2016;EUR;GBR;BTSX;27.8
2016;EUR;GBR;FMLE;28.6
2016;EUR;GBR;MLE;26.9
2015;EUR;GBR;BTSX;27.2
2015;EUR;GBR;FMLE;28.1
2015;EUR;GBR;MLE;26.2
2014;EUR;GBR;BTSX;26.6
2014;EUR;GBR;FMLE;27.6
2014;EUR;GBR;MLE;25.5
2013;EUR;GBR;BTSX;26.0
2013;EUR;GBR;FMLE;27.0
2013;EUR;GBR;MLE;24.9
2012;EUR;GBR;BTSX;25.4
2012;EUR;GBR;FMLE;26.5
2012;EUR;GBR;MLE;24.3
2011;EUR;GBR;BTSX;24.8
2011;EUR;GBR;FMLE;26.0
2011;EUR;GBR;MLE;23.6
2010;EUR;GBR;BTSX;24.2
2010;EUR;GBR;FMLE;25.4
2010;EUR;GBR;MLE;23.0
2009;EUR;GBR;BTSX;23.6
2009;EUR;GBR;FMLE;24.9
2009;EUR;GBR;MLE;22.4
2008;EUR;GBR;BTSX;23.1
2008;EUR;GBR;FMLE;24.3
2008;EUR;GBR;MLE;21.8
2007;EUR;GBR;BTSX;22.5
2007;EUR;GBR;FMLE;23.8
2007;EUR;GBR;MLE;21.1
2006;EUR;GBR;BTSX;21.9
2006;EUR;GBR;FMLE;23.3
2006;EUR;GBR;MLE;20.5
2005;EUR;GBR;BTSX;21.4
2005;EUR;GBR;FMLE;22.7
2005;EUR;GBR;MLE;19.9
2004;EUR;GBR;BTSX;20.8
2004;EUR;GBR;FMLE;22.2
2004;EUR;GBR;MLE;19.3
2003;EUR;GBR;BTSX;20.3
2003;EUR;GBR;FMLE;21.7
2003;EUR;GBR;MLE;18.8
2002;EUR;GBR;BTSX;19.7
2002;EUR;GBR;FMLE;21.2
2002;EUR;GBR;MLE;18.2
2001;EUR;GBR;BTSX;19.2
2001;EUR;GBR;FMLE;20.6
2001;EUR;GBR;MLE;17.6
2000;EUR;GBR;BTSX;18.6
2000;EUR;GBR;FMLE;20.1
2000;EUR;GBR;MLE;17.1
1999;EUR;GBR;BTSX;18.1
1999;EUR;GBR;FMLE;19.6
1999;EUR;GBR;MLE;16.5
1998;EUR;GBR;BTSX;17.6
1998;EUR;GBR;FMLE;19.1
1998;EUR;GBR;MLE;16.0
1997;EUR;GBR;BTSX;17.1
1997;EUR;GBR;FMLE;18.7
1997;EUR;GBR;MLE;15.5
1996;EUR;GBR;BTSX;16.6
1996;EUR;GBR;FMLE;18.2
1996;EUR;GBR;MLE;15.0
1995;EUR;GBR;BTSX;16.2
1995;EUR;GBR;FMLE;17.7
1995;EUR;GBR;MLE;14.5
1994;EUR;GBR;BTSX;15.7
1994;EUR;GBR;FMLE;17.3
1994;EUR;GBR;MLE;14.0
1993;EUR;GBR;BTSX;15.2
1993;EUR;GBR;FMLE;16.8
1993;EUR;GBR;MLE;13.6
